"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59197006924308","3.10843920500336","3.96254301219474","5.76986990463084","5.61485981621823","3.82233511678332","5.30031405765243","6.28797536126895","3.37583749127457","3.25948642303557","3.70423775271973","6.59295050184228","2.19006066092493","1.03610080269524","-2.83550241253081","4.43468813342022","3.04904620110997","2.80990970893053","5.06749722968669","3.48434619543613","5.16689296887391","4.26244900176589","1.70328044813839","-1.22340655068425","4.00567421402882","0.184032701346126","-1.99594849465619","3.95889741019282","6.831286936157","-1.00279969703662","-3.17816679833555","3.47754664397004","6.0942074938599","-0.871324635946181","-4.99016807951267","3.41284225233898","",
"Africa Eastern and Southern","AFE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.93394652607388","0.596607182700296","3.15005277433811","3.72697762319505","2.96282611249301","3.44451811181899","1.77938414859143","3.22709425782522","4.66069283727156","4.9375235930307","3.27935307114228","9.81457603484399","12.2244749029127","15.1283461293648","11.8844308780282","9.53063246939575","10.4081011819647","10.5402897346018","14.571237401444","19.2052947583143","10.8584883696807","7.69747177597073","11.5568417279521","12.7347557638561","16.1443312605572","13.9165769085529","12.6940698239433","20.1526012639735","14.8392839097246","11.9939039078829","14.9789364247387","14.6406552101884","13.8705025937681","17.0164147872542","16.1027117424962","15.1761803358905","10.5450486551459","9.10917293901807","8.00681329656179","11.1173058824862","8.31282499951298","8.91492825675004","7.8067408729751","9.60039256006742","7.62368935878268","7.65225430526529","8.24576476611674","10.961412407556","8.28143239119239","5.88302203486953","9.74570998523772","6.2038885361032","6.18855482573186","5.40353537265564","5.54529642817306","7.00282332300992","5.2174308654151","4.32175652594989","4.44437946494116","5.08964070914836","5.5355212940521","8.56298470417367","8.77082256021921",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.7745360343304","6.12552203654018","11.655238221181","11.2714320572149","10.9127735503048","7.19975129292388","22.5277562007029","2.09628875042125","-2.16340442746143","3.81463031545211","16.5933467401627","7.30175646760432","4.82278547876986","0.56694454253261","2.44756300147404","-2.19752646733461","2.40365618765746","2.07134857783487","6.52147984832531","6.9629462552564","2.83899625081041","9.40623933931322","",
"Africa Western and Central","AFW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","3.2784459977796","2.4859555087185","2.78147914636031","3.38106058115134","2.40502608843418","4.13875252313607","1.22775183399891","1.62794933907504","4.21395854255844","3.35065176133496","4.18919648768647","5.14581077272575","7.61859794290713","13.4226391288569","8.58677208918515","11.3197643284874","10.8719879829449","6.61649466282473","10.7617886745716","11.0012811856239","10.0100209398595","13.8205590460171","9.92793639852341","11.315050030616","5.29721350555086","0.326064111948192","2.35651163978967","3.69277055172387","3.50011875822426","4.82244315626079","3.31280575359608","0.482938222012713","2.80670798967146","24.7941952455715","7.39692068899853","6.18642412010941","2.96013877018808","5.30948306910901","4.5010973040581","4.815430261735","3.86179519435659","2.67339738740157","1.71882163202884","5.68195133906449","6.68893394628957","4.64332213979795","5.47702897735707","9.11699967501008","1.48940427014475","5.42967319893799","8.51666047274573","4.73009483577319","1.55401804733171","0.731853329618588","1.9115594158738","1.736323129284","1.7591057757006","2.15033893298982","1.73901363347114","1.71555846221028","4.64220334647923","8.09469401890426","3.38669113752862",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.1003061669614","0","0.0127635583866379","0.0011881098994877","19.0352057407944","-9.01306191994358","9.8233113499663","2.21377444948736","16.2796626853837","14.0074398272592","106.309982268478","476.51575086326","917.783468411763","2175.97895508759","1825.49514900731","4800.53164415744","95.4530221791129","39.3593483252693","557.501113091215","418.018991534099","106.352125501451","196.984099399931","93.9265669067308","33.4435947900255","42.3742492617284","17.1156651448542","4.30843221207182","19.3657735558326","-16.7621402901592","32.2704691224412","31.7714601558986","7.25574990943825","2.83972412637765","3.56088477205805","-3.51838534598478","21.7743125582849","22.6144365241349","28.1670932554891","19.1870038271785","10.7631052824799","38.8237218374918","13.7098475207842","17.6477569319598",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.13957198618188","-0.0177190996205354","-0.0167551716364898","-0.0283602576437829","0.35122234783789","-2.41730042881588","-0.000306092920837386","-0.00057857927218663","0.0036791601611128","-0.431368812605911","35.5142469575829","232.984658866956","125.650814219817","35.8424752083078","9.9706626786687","38.1720581994814","11.2396444802125","6.73085990507577","2.10284998886902","5.6474714679938","3.81085737408868","3.6474762708812","5.19863530307683","3.15236892537025","3.30681814689954","2.47818888688769","4.3867093833438","4.11708542559394","2.41833605890835","4.49314320031891","2.31474379699794","1.04271460643407","0.288745964127756","1.54991706986272","0.563991350160876","-0.632653419095547","1.45073158124514","1.47295348748196","1.25702482876329","0.696542442312051","3.45443198973012","9.86601343108215","4.55308281133995",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099183875","8.51807771346922","11.8494338560781","15.9452012982009","16.7817954074984","16.4898572156615","23.3830925565265","20.6310414051034","16.9316890728162","13.3548138415481","12.3511732151061","13.5823498320276","11.8842352506624","10.8647343748366","8.59546375990811","10.8788152586437","5.94419880985619","5.93612498887575","6.89620714121754","7.32624365834135","6.93514836160884","6.71076896051142","4.53723214675858","3.87985832158631","4.93312104936552","0.797177729321263","2.22816030666122","1.49955384331271","2.73197952535102","28.7415528975991","3.08053517916559","3.23953176987777","3.17748421556476","3.04242399802695","3.39610212995052","3.45718408670396","3.21122734131436","2.27433831984322","0.132136132405464","0.374313758110119","0.196764152031051","0.174556905779482","0.448492200194735","-0.0840193165570753","0.660588959137868","0.347795381575793","1.13650934319639","1.01247848005298","1.37475350829189","1.11378607410401","2.55955652556359","4.23599022878203","5.85990550303667",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","2.75119762095611","2.38960219713318","2.75484921913684","1.06482413716915","3.91033373592991","7.3570935534278","2.68384905866503","15.246408122544","34.6065505522966","5.59914413189657","8.6297822168616","10.3700771762445","6.46492999055477","19.271855817196","24.1580814737482","10.609536687547","6.37204866176813","6.88749696084821","6.18040856864218","4.23208188472633","2.96400555028975","9.36808988992183","4.17732529981258","8.40158927355475","9.70274861422615","7.44099981033727","5.71674375897769","3.86316291751921","7.60245225222924","7.76719773181837","6.65755752496982","3.45976737901772","-3.13108869741959","8.44337746020058","10.9479190755594","1.86769984238948","4.17065591684414","5.11182917627502","10.991084622511","14.5852591731795","9.09650632380644","8.26411313377069","15.9501259770903","-2.78022303939403","11.1033505813839","13.1672193726198","4.66181078103054","1.75215703553242","1.04867463772903","-2.11493646984442","0.920589535113145","4.96211021928811","7.04476653822132","1.65625304344088","1.22373908004261","11.6549513236373","13.2415371807134","-0.240072212350519",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","0","-5.40012479177676E-13","54.2528270000002","138.263492563892","19.000916","11.7743313549637","5.25575609125775","-3.66111149543976","7.05102054449347","9.51597603475082","7.05448398235433","1.31286872877219","-3.61801721852338","-6.09746718633868","0.740532889900194","-1.69848529741974","3.68558480261687","2.38104573165347","1.75127660936027","3.33590049399264","0.810848722867902","1.80682612323693","1.27803631115864","-0.262474925014473","3.90747975797208","5.77304389866605","-0.952300713494253","-4.25444531455858","8.44337746020058","11.4595357939894","-2.34930767820795","3.77083954826043","4.07240679733007","8.50142205885294","16.5263069327845","11.9621492865846","12.5339606714946","18.5333530849246","-15.1829798865339","16.5278863640702","13.1672193726198","4.67972512554906","-0.949325324877421","-0.668049355690627","-16.2670060257069","-5.52947861264578","4.9862131440172","7.93674803319826","-3.19440940446903","-12.0313053012111","13.8437703409675","13.2415371807134","-3.84309355244665",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975290508","28.8718416496811","25.5911543466798","28.7746173194355","21.2329349264853","25.603462425178","29.0182629355813","10.2753105598205","7.79583003393792","6.46787463920629","31.2710638842292","64.2447859149364","65.535287370144","30.630441370412","197.697364543187","438.322779739816","159.42717769645","161.372172004157","147.377044034473","95.7904246128352","105.276366380064","194.535299663443","380.158528521919","611.196303891913","607.447497830085","77.2922366864133","127.539918059086","381.24634440952","3046.09115201119","2078.31681806978","140.502378661012","16.0719935356945","-3.56109557576575","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","26.5799916024707","41.1193799882279","26.0063792819079","42.0336689575031","49.1955790596612","40.0830878011993","53.8404499043736","69.4712395512144","133.839867291437",
