"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","Growth.Indicator","Enrollment","Value","Tuition_Av","FX_Rate"
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,7.43,18500,10.155
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,1.03,18500,10.155
"2014","China","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,7.43,13000,10.155
"2014","China","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,1.03,13000,10.155
"2014","China","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,7.43,13000,10.155
"2014","China","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,1.03,13000,10.155
"2014","China","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",3180,7.43,15500,10.155
"2014","China","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",3180,1.03,15500,10.155
"2014","China","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",840,7.43,15500,10.155
"2014","China","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",840,1.03,15500,10.155
"2014","China","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",20700,7.43,16000,10.155
"2014","China","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",20700,1.03,16000,10.155
"2014","China","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",540,7.43,16000,10.155
"2014","China","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",540,1.03,16000,10.155
"2014","China","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",21360,7.43,14000,10.155
"2014","China","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",21360,1.03,14000,10.155
"2014","China","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",240,7.43,14000,10.155
"2014","China","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",240,1.03,14000,10.155
"2014","China","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",4980,7.43,18500,10.155
"2014","China","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",4980,1.03,18500,10.155
"2014","China","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",240,7.43,18500,10.155
"2014","China","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",240,1.03,18500,10.155
"2014","China","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",8580,7.43,13500,10.155
"2014","China","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",8580,1.03,13500,10.155
"2014","China","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",60,7.43,13500,10.155
"2014","China","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",60,1.03,13500,10.155
"2014","China","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",6360,7.43,13500,10.155
"2014","China","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",6360,1.03,13500,10.155
