"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","199.209","193.463","201.046","191.648","","3.05%"
"01/11/2023","193.306","182.986","195.008","182.514","","5.73%"
"01/10/2023","182.827","180.819","184.596","178.524","","1.21%"
"01/09/2023","180.638","184.407","185.228","179.160","","-1.97%"
"01/08/2023","184.265","183.084","185.341","180.361","","0.75%"
"01/07/2023","182.899","178.379","185.915","177.964","","2.47%"
"01/06/2023","178.491","172.418","180.267","171.669","","3.62%"
"01/05/2023","172.253","170.904","173.464","169.296","","0.91%"
"01/04/2023","170.704","163.366","171.156","162.411","","4.54%"
"01/03/2023","163.289","152.613","164.384","151.557","","7.09%"
"01/02/2023","152.474","153.372","154.566","149.380","","-0.51%"
"01/01/2023","153.261","149.283","154.654","146.280","","2.75%"
