"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2022","541.438","535.214","558.868","534.355","","1.28%"
"01/11/2022","534.611","502.809","539.014","489.565","","6.46%"
"01/10/2022","502.170","482.547","510.275","468.291","","4.19%"
"01/09/2022","481.967","490.351","509.775","447.083","","-1.58%"
"01/08/2022","489.728","505.906","515.940","487.501","","-3.09%"
"01/07/2022","505.339","505.695","514.302","488.387","","0.07%"
"01/06/2022","504.983","523.318","525.218","495.395","","-3.36%"
"01/05/2022","522.522","522.688","525.980","504.633","","0.22%"
"01/04/2022","521.395","546.192","547.441","515.425","","-4.40%"
"01/03/2022","545.389","558.341","559.089","540.498","","-2.19%"
"01/02/2022","557.586","559.167","568.819","551.949","","-0.15%"
"01/01/2022","558.411","557.410","569.401","554.331","","0.26%"
