"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","87.070","85.195","87.995","84.755","","2.66%"
"01/04/2024","84.810","85.700","86.245","83.320","","-0.75%"
"01/03/2024","85.450","85.820","87.655","84.800","","-0.37%"
"01/02/2024","85.770","85.705","86.525","84.080","","0.76%"
"01/01/2024","85.120","85.580","86.260","84.290","","-0.54%"
"01/12/2023","85.580","84.865","86.420","82.895","","0.84%"
"01/11/2023","84.865","81.465","85.670","79.400","","4.19%"
"01/10/2023","81.455","79.035","81.985","78.205","","2.09%"
"01/09/2023","79.785","81.180","81.430","76.150","","-1.72%"
"01/08/2023","81.185","80.565","81.895","75.745","","0.79%"
"01/07/2023","80.550","75.235","82.655","74.590","","1.19%"
"01/06/2023","79.605","77.750","80.475","72.640","","2.39%"
"01/05/2023","77.750","78.540","79.275","72.255","","-0.98%"
"01/04/2023","78.520","78.170","80.365","73.990","","-0.15%"
"01/03/2023","78.635","76.190","79.145","72.215","","3.21%"
"01/02/2023","76.190","77.890","78.410","72.920","","-2.20%"
"01/01/2023","77.900","76.215","78.650","72.710","","2.20%"
