"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2021","8.5938","8.4639","8.6200","8.3594","","1.57%"
"01/11/2021","8.4609","8.7647","8.7764","8.3974","","-3.51%"
"01/10/2021","8.7691","8.6849","8.8647","8.6601","","0.99%"
"01/09/2021","8.6830","8.8854","8.9647","8.6685","","-2.28%"
"01/08/2021","8.8856","8.9820","9.0161","8.8400","","-1.07%"
"01/07/2021","8.9813","8.9297","9.0472","8.7971","","0.60%"
"01/06/2021","8.9275","9.0536","9.0856","8.8983","","-1.35%"
"01/05/2021","9.0494","8.9509","9.1551","8.9334","","1.20%"
"01/04/2021","8.9418","9.0305","9.1388","8.9344","","-0.95%"
"01/03/2021","9.0277","9.0257","9.0997","8.9207","","0.11%"
"01/02/2021","9.0182","8.8144","9.2064","8.7674","","2.46%"
"01/01/2021","8.8016","8.9236","8.9321","8.7188","","-1.35%"
