"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2020","3,163.93","3,089.95","3,174.02","3,045.89","","2.64%"
"01/11/2020","3,082.48","3,002.18","3,107.35","2,979.71","","2.94%"
"01/10/2020","2,994.55","2,996.98","3,057.30","2,973.83","","0.13%"
"01/09/2020","2,990.52","3,101.03","3,128.17","2,939.70","","-3.37%"
"01/08/2020","3,094.92","3,044.36","3,107.87","3,018.66","","1.97%"
"01/07/2020","3,035.26","2,874.55","3,062.26","2,860.84","","5.84%"
"01/06/2020","2,867.89","2,855.25","2,966.33","2,834.79","","0.62%"
"01/05/2020","2,850.23","2,915.41","2,916.22","2,792.42","","-1.97%"
"01/04/2020","2,907.49","2,874.83","2,926.63","2,814.56","","1.45%"
"01/03/2020","2,866.07","2,949.12","3,038.87","2,632.63","","-2.76%"
"01/02/2020","2,947.32","3,049.05","3,050.44","2,931.96","","-3.00%"
"01/01/2020","3,038.41","3,047.38","3,053.48","2,981.34","","-0.12%"
"01/12/2019","3,042.12","2,976.19","3,107.07","2,962.10","","2.31%"
"01/11/2019","2,973.30","2,981.38","2,993.38","2,940.44","","-0.05%"
"01/10/2019","2,974.91","2,824.13","2,996.72","2,801.04","","5.56%"
"01/09/2019","2,818.10","2,796.21","2,896.38","2,747.95","","0.79%"
"01/08/2019","2,795.88","2,794.32","2,830.20","2,762.94","","0.25%"
"01/07/2019","2,788.82","2,919.85","2,922.84","2,787.31","","-4.26%"
"01/06/2019","2,913.04","2,901.68","2,940.44","2,874.07","","0.56%"
"01/05/2019","2,896.75","3,004.11","3,039.26","2,887.79","","-3.35%"
"01/04/2019","2,997.13","3,018.18","3,055.22","2,965.14","","-0.43%"
"01/03/2019","3,010.16","3,107.29","3,138.67","3,000.51","","-2.91%"
"01/02/2019","3,100.42","3,037.47","3,128.12","2,970.88","","2.31%"
"01/01/2019","3,030.34","2,935.15","3,071.01","2,860.86","","3.50%"
