"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2020","149.172","146.703","152.061","145.407","","1.80%"
"01/11/2020","146.531","140.852","147.428","139.975","","4.17%"
"01/10/2020","140.669","140.160","143.245","139.017","","0.46%"
"01/09/2020","140.031","144.626","146.021","137.355","","-3.11%"
"01/08/2020","144.519","141.088","144.945","140.016","","2.61%"
"01/07/2020","140.839","132.133","141.918","131.680","","6.71%"
"01/06/2020","131.987","131.781","136.533","130.529","","0.21%"
"01/05/2020","131.710","135.124","135.162","128.719","","-2.38%"
"01/04/2020","134.923","130.753","135.591","129.041","","3.38%"
"01/03/2020","130.513","129.536","136.011","119.481","","0.70%"
"01/02/2020","129.610","132.694","132.694","128.782","","-2.10%"
"01/01/2020","132.386","134.400","134.552","130.514","","-1.45%"
