Average monthly BID rates @ +/- 0.0%,,,,,,,,
OANDA Exchange Rates,,,,,,,,
https://fxds-hcc.oanda.com,,,,,,,,
,,,,,,,,
,,,,,,,,
Period Start Date,GBP/GHC,GBP/NGN,GBP/CNY,GBP/KES,GBP/CDF,GBP/GMD,GBP/INR,GBP/PKR
01/10/2023,142969,943.082,8.85738,180.768,3059.35,79.2337,101.269,340.131
01/09/2023,142206,955.315,9.03236,180.848,3055.3,76.1109,102.915,368.559
01/08/2023,142821,972.941,9.1818,181.599,3092.53,76.7462,105.205,371.778
01/07/2023,145419,999.849,9.25497,181.049,3143.38,76.4237,105.813,362.393
01/06/2023,141464,755.059,9.0336,175.316,2964.44,74.7197,103.809,361.188
01/05/2023,141064,574.021,8.7148,170.252,2711.43,74.2236,102.689,356.28
01/04/2023,141359,572.372,8.56438,166.075,2548.15,76.4873,101.948,353.138
01/03/2023,149124,557.507,8.36258,156.406,2466.42,74.1712,99.7976,339.025
01/02/2023,149731,554.355,8.25445,150.434,2450.49,73.3019,99.7116,321.496
01/01/2023,138878,554.532,8.30706,150.483,2462.1,74.4944,99.9924,285.756
,,,,,,,,
Period Average,144578,791.329,8.79396,172.942,2882.55,76.8678,102.661,347.509
Period Low,138878,554.355,8.25445,150.434,2450.49,73.3019,99.7116,285.756
Period High,151833,1052.78,9.25497,194.36,3397.94,84.4155,105.813,371.778
