4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
Non-European Union,"Gambia, The",All postgraduate,Full-time,2021/22,Scotland,5
Non-European Union,"Gambia, The",All postgraduate,Part-time,2021/22,Scotland,0
Non-European Union,"Gambia, The",All postgraduate,All,2021/22,Scotland,10
Non-European Union,India,Postgraduate (research),Full-time,2021/22,Scotland,295
Non-European Union,India,Postgraduate (research),Part-time,2021/22,Scotland,20
Non-European Union,India,Postgraduate (research),All,2021/22,Scotland,315
Non-European Union,India,Postgraduate (taught),Full-time,2021/22,Scotland,8435
Non-European Union,India,Postgraduate (taught),Part-time,2021/22,Scotland,155
Non-European Union,India,Postgraduate (taught),All,2021/22,Scotland,8590
Non-European Union,India,All postgraduate,Full-time,2021/22,Scotland,8730
Non-European Union,India,All postgraduate,Part-time,2021/22,Scotland,175
Non-European Union,India,All postgraduate,All,2021/22,Scotland,8905
Non-European Union,Pakistan,Postgraduate (research),Full-time,2021/22,Scotland,125
Non-European Union,Pakistan,Postgraduate (research),Part-time,2021/22,Scotland,0
Non-European Union,Pakistan,Postgraduate (research),All,2021/22,Scotland,125
Non-European Union,Pakistan,Postgraduate (taught),Full-time,2021/22,Scotland,2835
Non-European Union,Pakistan,Postgraduate (taught),Part-time,2021/22,Scotland,85
Non-European Union,Pakistan,Postgraduate (taught),All,2021/22,Scotland,2920
Non-European Union,Pakistan,All postgraduate,Full-time,2021/22,Scotland,2960
Non-European Union,Pakistan,All postgraduate,Part-time,2021/22,Scotland,85
Non-European Union,Pakistan,All postgraduate,All,2021/22,Scotland,3045
Non-European Union,Taiwan,Postgraduate (research),Full-time,2021/22,Scotland,30
Non-European Union,Taiwan,Postgraduate (research),Part-time,2021/22,Scotland,0
Non-European Union,Taiwan,Postgraduate (research),All,2021/22,Scotland,35
Non-European Union,Taiwan,Postgraduate (taught),Full-time,2021/22,Scotland,260
Non-European Union,Taiwan,Postgraduate (taught),Part-time,2021/22,Scotland,15
Non-European Union,Taiwan,Postgraduate (taught),All,2021/22,Scotland,275
Non-European Union,Taiwan,All postgraduate,Full-time,2021/22,Scotland,290
Non-European Union,Taiwan,All postgraduate,Part-time,2021/22,Scotland,15
Non-European Union,Taiwan,All postgraduate,All,2021/22,Scotland,310
Non-European Union,Thailand,Postgraduate (research),Full-time,2021/22,Scotland,85
Non-European Union,Thailand,Postgraduate (research),Part-time,2021/22,Scotland,0
Non-European Union,Thailand,Postgraduate (research),All,2021/22,Scotland,90
Non-European Union,Thailand,Postgraduate (taught),Full-time,2021/22,Scotland,330
Non-European Union,Thailand,Postgraduate (taught),Part-time,2021/22,Scotland,25
Non-European Union,Thailand,Postgraduate (taught),All,2021/22,Scotland,355
Non-European Union,Thailand,All postgraduate,Full-time,2021/22,Scotland,415
Non-European Union,Thailand,All postgraduate,Part-time,2021/22,Scotland,25
Non-European Union,Thailand,All postgraduate,All,2021/22,Scotland,440
Non-European Union,Japan,Postgraduate (research),Full-time,2021/22,Scotland,20
Non-European Union,Japan,Postgraduate (research),Part-time,2021/22,Scotland,5
Non-European Union,Japan,Postgraduate (research),All,2021/22,Scotland,30
Non-European Union,Japan,Postgraduate (taught),Full-time,2021/22,Scotland,80
Non-European Union,Japan,Postgraduate (taught),Part-time,2021/22,Scotland,35
Non-European Union,Japan,Postgraduate (taught),All,2021/22,Scotland,115
Non-European Union,Japan,All postgraduate,Full-time,2021/22,Scotland,105
Non-European Union,Japan,All postgraduate,Part-time,2021/22,Scotland,40
Non-European Union,Japan,All postgraduate,All,2021/22,Scotland,140
Non-European Union,Saudi Arabia,Postgraduate (research),Full-time,2021/22,Scotland,245
Non-European Union,Saudi Arabia,Postgraduate (research),Part-time,2021/22,Scotland,10
Non-European Union,Saudi Arabia,Postgraduate (research),All,2021/22,Scotland,255
Non-European Union,Saudi Arabia,Postgraduate (taught),Full-time,2021/22,Scotland,240
Non-European Union,Saudi Arabia,Postgraduate (taught),Part-time,2021/22,Scotland,45
Non-European Union,Saudi Arabia,Postgraduate (taught),All,2021/22,Scotland,285
Non-European Union,Saudi Arabia,All postgraduate,Full-time,2021/22,Scotland,485
Non-European Union,Saudi Arabia,All postgraduate,Part-time,2021/22,Scotland,55
Non-European Union,Saudi Arabia,All postgraduate,All,2021/22,Scotland,540
Non-European Union,Oman,Postgraduate (research),Full-time,2021/22,Scotland,25
Non-European Union,Oman,Postgraduate (research),Part-time,2021/22,Scotland,10
Non-European Union,Oman,Postgraduate (research),All,2021/22,Scotland,35
Non-European Union,Oman,Postgraduate (taught),Full-time,2021/22,Scotland,50
Non-European Union,Oman,Postgraduate (taught),Part-time,2021/22,Scotland,10
Non-European Union,Oman,Postgraduate (taught),All,2021/22,Scotland,60
Non-European Union,Oman,All postgraduate,Full-time,2021/22,Scotland,75
Non-European Union,Oman,All postgraduate,Part-time,2021/22,Scotland,20
Non-European Union,Oman,All postgraduate,All,2021/22,Scotland,95
Non-European Union,Kuwait,Postgraduate (research),Full-time,2021/22,Scotland,50
Non-European Union,Kuwait,Postgraduate (research),Part-time,2021/22,Scotland,5
Non-European Union,Kuwait,Postgraduate (research),All,2021/22,Scotland,55
Non-European Union,Kuwait,Postgraduate (taught),Full-time,2021/22,Scotland,95
Non-European Union,Kuwait,Postgraduate (taught),Part-time,2021/22,Scotland,10
Non-European Union,Kuwait,Postgraduate (taught),All,2021/22,Scotland,105
Non-European Union,Kuwait,All postgraduate,Full-time,2021/22,Scotland,145
Non-European Union,Kuwait,All postgraduate,Part-time,2021/22,Scotland,10
Non-European Union,Kuwait,All postgraduate,All,2021/22,Scotland,160
Non-European Union,Turkey,Postgraduate (research),Full-time,2021/22,Scotland,130
Non-European Union,Turkey,Postgraduate (research),Part-time,2021/22,Scotland,5
Non-European Union,Turkey,Postgraduate (research),All,2021/22,Scotland,135
Non-European Union,Turkey,Postgraduate (taught),Full-time,2021/22,Scotland,125
Non-European Union,Turkey,Postgraduate (taught),Part-time,2021/22,Scotland,15
Non-European Union,Turkey,Postgraduate (taught),All,2021/22,Scotland,140
Non-European Union,Turkey,All postgraduate,Full-time,2021/22,Scotland,255
Non-European Union,Turkey,All postgraduate,Part-time,2021/22,Scotland,15
Non-European Union,Turkey,All postgraduate,All,2021/22,Scotland,275
