"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Enrollment","FX_Rate","Growth.Indicator","Value","Tuition_Av"
"2014","China","Robert Gordon University","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"Inflation ",1.031063688,14500
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",300,10.15,"GDP ",7.425763656,18500
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",300,10.15,"Inflation ",1.031063688,18500
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,18500
"2014","China","Royal Conservatoire of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,18500
"2014","China","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,13000
"2014","China","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,13000
"2014","China","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,13000
"2014","China","SRUC","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,13000
"2014","China","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",3180,10.15,"GDP ",7.425763656,15500
"2014","China","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",3180,10.15,"Inflation ",1.031063688,15500
"2014","China","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",840,10.15,"GDP ",7.425763656,15500
"2014","China","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",840,10.15,"Inflation ",1.031063688,15500
"2014","China","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",20700,10.15,"GDP ",7.425763656,16000
"2014","China","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",20700,10.15,"Inflation ",1.031063688,16000
"2014","China","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",540,10.15,"GDP ",7.425763656,16000
"2014","China","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",540,10.15,"Inflation ",1.031063688,16000
"2014","China","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",21360,10.15,"GDP ",7.425763656,14000
"2014","China","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",21360,10.15,"Inflation ",1.031063688,14000
"2014","China","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",240,10.15,"GDP ",7.425763656,14000
"2014","China","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",240,10.15,"Inflation ",1.031063688,14000
"2014","China","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",4980,10.15,"GDP ",7.425763656,18500
"2014","China","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",4980,10.15,"Inflation ",1.031063688,18500
"2014","China","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",240,10.15,"GDP ",7.425763656,18500
"2014","China","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",240,10.15,"Inflation ",1.031063688,18500
"2014","China","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",8580,10.15,"GDP ",7.425763656,13500
"2014","China","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",8580,10.15,"Inflation ",1.031063688,13500
"2014","China","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",60,10.15,"GDP ",7.425763656,13500
"2014","China","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",60,10.15,"Inflation ",1.031063688,13500
"2014","China","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",6360,10.15,"GDP ",7.425763656,13500
"2014","China","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",6360,10.15,"Inflation ",1.031063688,13500
"2014","China","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"GDP ",7.425763656,13500
"2014","China","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,10.15,"Inflation ",1.031063688,13500
"2014","China","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",1380,10.15,"GDP ",7.425763656,12750
"2014","China","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",1380,10.15,"Inflation ",1.031063688,12750
"2014","China","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",660,10.15,"GDP ",7.425763656,12750
"2014","China","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",660,10.15,"Inflation ",1.031063688,12750
"2014","China","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,12000
"2014","China","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,12000
"2014","China","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"GDP ",7.425763656,12000
"2014","China","University of the Highlands and Islands","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,10.15,"Inflation ",1.031063688,12000
"2014","Gambia","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13000
"2014","Gambia","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13000
