"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Enrollment","FX_Rate"
"2014","Kenya","The University of Aberdeen","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",240,144.77
"2014","Kenya","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",180,144.77
"2014","Kenya","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,144.77
"2014","Kenya","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",120,144.77
"2014","Kenya","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,144.77
"2014","Kenya","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,144.77
"2014","Kenya","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,144.77
"2014","Kenya","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,144.77
"2014","Kenya","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,144.77
"2014","Kuwait","Abertay University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","Edinburgh Napier University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","Glasgow Caledonian University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",30,0.47
"2014","Kuwait","Glasgow School of Art","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","Heriot-Watt University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",15,0.47
"2014","Kuwait","Queen Margaret University, Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","Robert Gordon University","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","Royal Conservatoire of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","SRUC","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","The University of Aberdeen","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",30,0.47
"2014","Kuwait","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",15,0.47
"2014","Kuwait","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",15,0.47
"2014","Kuwait","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",45,0.47
"2014","Kuwait","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
"2014","Kuwait","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",15,0.47
"2014","Kuwait","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",30,0.47
"2014","Kuwait","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,0.47
